Geneid,SRR11770274,SRR11770275,SRR11770276,SRR11770277,SRR11770278,SRR11770279,SRR11770280,SRR11770281,SRR11770282,SRR11770283,SRR11770284,SRR11770285,SRR11770286,SRR11770287,SRR11770288,SRR12316632,SRR12316633,SRR12316634
NCU07504,574,899,796,564,933,636,95,127,537,334,994,603,875,192,210,678,719,946
NCU09085,1102,1512,1326,2220,3890,2809,129,161,395,254,933,604,824,113,112,1516,1643,1920
NCU01955,862,1296,1073,486,917,643,367,448,1037,642,1173,844,1130,298,350,1016,1112,1235
NCU01918,1244,1811,1543,550,872,622,320,365,884,567,1258,876,1144,349,449,882,1100,1165
NCU02554,412,675,575,397,649,402,148,137,473,290,646,368,556,159,232,491,540,533
NCU09998,289,412,358,226,341,220,78,91,333,191,532,362,460,120,151,335,439,454
NCU03122,181,292,201,133,206,175,53,41,181,117,318,165,250,36,61,257,261,296
NCU03200,2045,3271,2682,1685,3032,2058,698,785,2556,1545,3765,2527,3432,999,1318,3061,3347,3918
NCU09121,1384,2117,1723,706,1098,858,422,493,1449,846,2113,1433,2002,474,642,1765,1782,2057
NCU09220,227,360,274,157,261,184,64,64,217,155,364,195,255,62,101,293,277,372
NCU07378,864,1376,1035,1077,1876,1288,379,445,851,561,1537,959,1373,321,440,1097,1287,1415
NCU00682,1881,2883,2487,1614,2665,1875,1033,1175,2030,1265,1863,1268,1785,507,651,1756,1899,2278
NCU00673,9576,13969,11739,11127,19184,13485,8907,10507,5124,3084,9655,6698,9250,2583,3313,10071,11286,12501
NCU00656,525,803,666,542,861,695,190,193,518,296,728,473,645,201,272,778,731,909
NCU00621,605,967,681,423,785,601,231,302,833,487,1284,875,1286,368,514,931,1035,1102
NCU03050,1083,1659,1442,537,899,630,390,468,1304,743,1491,1041,1395,347,528,1278,1415,1514
NCU02781,1347,2008,1855,745,1152,913,348,498,1124,629,1991,1428,1926,467,604,1757,1729,2255
NCU02779,18,34,14,16,21,24,11,4,14,4,18,12,22,1,3,17,15,21
NCU03546,591,768,660,375,698,516,177,190,675,382,1274,773,1130,227,286,683,642,871
NCU03543,502,759,574,260,391,318,213,235,492,311,965,633,892,267,337,686,631,838
NCU03523,1132,1787,1481,1464,2362,1666,425,455,1057,635,1794,1123,1614,362,447,1223,1363,1666
NCU03441,362,493,465,295,529,366,153,178,541,300,826,527,684,151,189,547,553,714
NCU03438,503,787,688,274,407,315,186,229,462,267,713,452,580,232,252,529,354,731
NCU03387,1129,1800,1467,788,1397,1009,289,372,996,546,1897,1236,1739,385,500,1668,1853,2113
NCU05422,885,1230,981,451,755,521,299,323,752,469,1273,809,1207,302,396,833,886,1185
NCU01756,1816,2688,2368,859,1447,989,893,995,1823,1049,2072,1437,1970,740,949,1825,2008,2341
NCU01674,1834,2849,2330,770,1318,936,643,729,1464,913,3054,2119,2955,624,844,2548,2832,3197
NCU01545,4196,6288,5044,4193,6760,4817,1558,1834,2775,1768,6171,4041,6217,912,1066,7902,8193,9904
NCU01539,475,691,582,378,592,401,228,257,397,254,883,557,769,206,237,616,606,843
NCU06436,884,1303,1075,898,1543,1125,432,558,1632,930,1448,861,1291,372,523,1127,1105,1430
NCU06183,566,808,782,435,788,556,240,240,468,290,981,616,881,232,309,775,804,919
NCU06192,288,383,288,175,325,238,72,88,243,171,473,326,483,82,102,414,420,436
NCU06240,924,1271,1180,480,842,563,270,262,1013,602,1386,876,1203,441,537,835,830,957
NCU06268,1257,1888,1629,814,1266,932,385,470,965,556,1584,1021,1436,375,549,1247,1350,1611
NCU00109,351,521,474,185,304,198,65,89,413,249,764,486,758,137,164,545,543,677
NCU00188,1055,1448,1217,1179,2094,1428,194,240,859,502,1240,829,1097,209,237,858,860,1126
NCU00242,815,1120,977,730,1094,769,210,276,507,302,1258,758,1167,213,282,1004,851,1202
NCU00447,1697,2606,2277,997,1954,1397,245,247,1660,956,3330,2179,2992,749,943,2323,2602,2915
NCU11185,513,718,609,427,665,502,160,195,516,338,614,451,576,194,286,546,548,656
NCU08973,888,1353,1076,504,745,612,308,383,971,611,1705,1127,1618,383,483,1209,1276,1533
NCU08766,718,1011,886,564,945,754,295,363,610,405,953,588,814,224,307,867,790,1070
NCU06626,537,814,713,353,687,471,224,280,703,409,944,703,847,232,302,713,790,878
NCU06630,1424,2147,1638,970,1810,1300,507,592,1302,820,2086,1415,1961,544,769,1900,1933,2339
NCU08277,1486,2172,1815,1192,2088,1439,162,229,1939,1249,3233,2134,3084,705,912,3049,3493,3823
NCU08268,551,804,671,402,557,417,85,91,553,338,1229,832,1104,167,201,1007,1008,1214
NCU06315,476,671,647,230,437,307,209,217,663,405,810,538,763,341,465,670,786,831
NCU08823,2196,3077,2595,960,1768,1196,234,288,2051,1220,3531,2425,3302,571,763,2358,2203,2940
NCU04662,99,182,142,76,192,126,96,119,169,104,221,151,235,37,61,157,143,237
NCU04566,926,1344,1002,573,1035,661,736,861,977,569,1279,929,1243,457,594,1040,1218,1304
NCU03616,501,690,580,392,613,418,151,208,640,412,1380,866,1332,257,320,808,865,935
NCU03711,1438,2078,1704,836,1403,976,437,517,1366,913,1859,1282,1842,459,652,1717,1890,2074
NCU03783,709,1069,919,473,769,596,431,516,972,571,1364,894,1272,374,499,897,957,1168
NCU01187,1583,2314,1999,2009,3224,2268,201,273,569,345,803,514,759,200,269,963,1225,1369
NCU06672,1136,1726,1419,974,1795,1324,407,543,881,548,1457,990,1454,318,402,2481,2372,3180
NCU04125,697,1068,854,333,685,409,220,268,694,419,1125,720,1008,256,347,809,788,1032
NCU04281,432,576,515,172,337,222,173,229,467,251,737,516,675,161,232,551,622,660
NCU08926,966,1458,1249,862,1616,1042,321,434,846,523,1394,908,1178,350,449,1046,1221,1427
NCU07171,1621,2436,2065,685,1062,778,534,647,1505,912,2131,1467,2024,641,828,1700,1788,2163
NCU04840,1014,1565,1273,944,1516,1073,259,331,718,469,1373,889,1224,362,461,1282,1253,1582
NCU05608,1940,3027,2479,1385,2320,1593,592,666,1902,1156,3814,2434,3212,846,1101,2534,2793,3096
NCU10049,48,97,63,37,65,38,15,20,76,53,154,109,123,21,37,92,77,98
NCU05959,635,987,831,424,728,505,262,297,793,466,1154,889,1201,250,311,924,835,1212
NCU06870,1004,1559,1313,561,903,657,98,102,657,415,1638,1076,1446,289,383,1281,1267,1779
NCU06949,353,460,431,150,272,171,30,37,326,161,594,378,599,81,127,364,365,510
NCU09572,703,1119,948,360,658,416,237,295,672,423,999,697,929,306,396,877,1049,1133
NCU02433,677,1057,901,534,872,606,207,189,664,425,952,698,967,195,247,831,953,1088
NCU02422,645,887,783,429,705,541,308,398,985,574,1186,848,1105,338,438,874,860,1043
NCU02273,7372,11383,9346,5907,9628,7003,4443,5183,4912,3069,9744,7109,9402,2095,2749,9002,10343,11206
NCU05775,773,1144,1022,582,865,654,149,147,515,294,738,454,644,188,240,1032,1045,1353
NCU05902,1175,1720,1368,721,1191,862,475,527,1041,605,1806,1119,1692,475,554,1329,1254,1633
